# SCF level flow: eigenvalue spectrum vs self-consistency iteration
# U_eV=11.2 hartree=1 hartree_onsite=0 homo_index=46 n_states=92 n_samples=1087 stride=2 iters=2171
# iter  state_index  energy_eV  occupation  spin(+1=up,-1=dn)
16 58 4.83178 0 -1
16 59 4.83697 0 1
16 60 4.83697 0 1
16 61 4.84439 0 1
16 62 5.30935 0 1
16 63 5.30935 0 1
16 64 5.33514 0 -1
16 65 5.33514 0 -1
16 66 5.53794 0 -1
16 67 5.53804 0 -1
16 68 5.53804 0 -1
16 69 5.55539 0 1
16 70 5.55948 0 1
16 71 5.55948 0 1
16 72 6.34481 0 1
16 73 6.42671 0 -1
16 74 6.43864 0 1
16 75 6.47732 0 -1
16 76 6.52737 0 -1
16 77 6.52737 0 -1
16 78 6.55396 0 1
16 79 6.55396 0 1
16 80 7.50229 0 1
16 81 7.50229 0 1
16 82 7.53888 0 -1
16 83 7.53888 0 -1
16 84 7.60555 0 1
16 85 7.6181 0 -1
16 86 8.48487 0 1
16 87 8.48487 0 1
16 88 8.493 0 -1
16 89 8.493 0 -1
16 90 9.20562 0 -1
16 91 9.22844 0 1
18 0 -7.41783 1 1
18 1 -7.39804 1 -1
18 2 -6.79004 1 1
18 3 -6.79004 1 1
18 4 -6.73024 1 -1
18 5 -6.73024 1 -1
18 6 -5.94872 1 1
18 7 -5.89426 1 -1
18 8 -5.87628 1 1
18 9 -5.87628 1 1
18 10 -5.77247 1 -1
18 11 -5.77247 1 -1
18 12 -4.89891 1 1
18 13 -4.89891 1 1
18 14 -4.87783 1 1
18 15 -4.86076 1 -1
18 16 -4.86076 1 -1
18 17 -4.75968 1 1
18 18 -4.73114 1 -1
18 19 -4.59599 1 -1
18 20 -3.95486 1 1
18 21 -3.95486 1 1
18 22 -3.89149 1 1
18 23 -3.85972 1 -1
18 24 -3.8568 1 -1
18 25 -3.8568 1 -1
18 26 -3.69296 1 1
18 27 -3.69296 1 1
18 28 -3.53845 1 -1
18 29 -3.53845 1 -1
18 30 -3.20657 1 1
18 31 -3.20085 1 -1
18 32 -3.20085 1 -1
18 33 -3.1781 1 1
18 34 -3.1781 1 1
18 35 -3.11823 1 -1
18 36 -2.95946 1 1
18 37 -2.94451 1 -1
18 38 -2.80609 1 1
18 39 -2.80609 1 1
18 40 -2.63186 1 -1
18 41 -2.63186 1 -1
18 42 -2.22304 1 1
18 43 -2.22304 1 1
18 44 -2.15341 1 1
18 45 -2.10837 1 1
18 46 3.78808 1 -1
18 47 3.82056 0 -1
18 48 3.82056 0 -1
18 49 3.89709 0 -1
18 50 4.52509 0 -1
18 51 4.52509 0 -1
18 52 4.54658 0 1
18 53 4.54658 0 1
18 54 4.74136 0 -1
18 55 4.74201 0 1
18 56 4.90197 0 -1
18 57 4.92255 0 -1
18 58 4.92255 0 -1
18 59 4.92985 0 1
18 60 4.92985 0 1
18 61 4.93736 0 1
18 62 5.40312 0 1
18 63 5.40312 0 1
18 64 5.43164 0 -1
18 65 5.43164 0 -1
18 66 5.62739 0 -1
18 67 5.62739 0 -1
18 68 5.63044 0 -1
18 69 5.65064 0 1
18 70 5.6523 0 1
18 71 5.6523 0 1
18 72 6.43478 0 1
18 73 6.52546 0 -1
18 74 6.52658 0 1
18 75 6.56853 0 -1
18 76 6.61484 0 -1
18 77 6.61484 0 -1
18 78 6.64525 0 1
18 79 6.64525 0 1
18 80 7.59118 0 1
18 81 7.59118 0 1
18 82 7.63107 0 -1
18 83 7.63107 0 -1
18 84 7.69527 0 1
18 85 7.70883 0 -1
18 86 8.57546 0 1
18 87 8.57546 0 1
18 88 8.58368 0 -1
18 89 8.58368 0 -1
18 90 9.29728 0 -1
18 91 9.32325 0 1
20 0 -7.33909 1 1
20 1 -7.31711 1 -1
20 2 -6.71741 1 1
20 3 -6.71741 1 1
20 4 -6.6518 1 -1
20 5 -6.6518 1 -1
20 6 -5.87795 1 1
20 7 -5.81894 1 -1
20 8 -5.80862 1 1
20 9 -5.80862 1 1
20 10 -5.69496 1 -1
20 11 -5.69496 1 -1
20 12 -4.82969 1 1
20 13 -4.82969 1 1
20 14 -4.81478 1 1
20 15 -4.78857 1 -1
20 16 -4.78857 1 -1
20 17 -4.6972 1 1
20 18 -4.65434 1 -1
20 19 -4.51827 1 -1
20 20 -3.89201 1 1
20 21 -3.89201 1 1
20 22 -3.82491 1 1
20 23 -3.79047 1 -1
20 24 -3.78432 1 -1
20 25 -3.78432 1 -1
20 26 -3.62987 1 1
20 27 -3.62987 1 1
20 28 -3.46242 1 -1
20 29 -3.46242 1 -1
20 30 -3.14137 1 1
20 31 -3.13295 1 -1
20 32 -3.13295 1 -1
20 33 -3.10925 1 1
20 34 -3.10925 1 1
20 35 -3.04425 1 -1
20 36 -2.89242 1 1
20 37 -2.87381 1 -1
20 38 -2.74524 1 1
20 39 -2.74524 1 1
20 40 -2.55566 1 -1
20 41 -2.55566 1 -1
20 42 -2.17315 1 1
20 43 -2.17315 1 1
20 44 -2.0969 1 1
20 45 -2.04668 1 1
20 46 3.87783 1 -1
20 47 3.91348 0 -1
20 48 3.91348 0 -1
20 49 3.99724 0 -1
20 50 4.61878 0 -1
20 51 4.61878 0 -1
20 52 4.64196 0 1
20 53 4.64196 0 1
20 54 4.83217 0 -1
20 55 4.83442 0 1
20 56 4.98703 0 -1
20 57 5.0098 0 -1
20 58 5.0098 0 -1
20 59 5.01945 0 1
20 60 5.01945 0 1
20 61 5.02693 0 1
20 62 5.49329 0 1
20 63 5.49329 0 1
20 64 5.52437 0 -1
20 65 5.52437 0 -1
20 66 5.71335 0 -1
20 67 5.71335 0 -1
20 68 5.71933 0 -1
20 69 5.74175 0 1
20 70 5.74175 0 1
20 71 5.74237 0 1
20 72 6.52132 0 1
20 73 6.61126 0 1
20 74 6.62039 0 -1
20 75 6.65619 0 -1
20 76 6.69885 0 -1
20 77 6.69885 0 -1
20 78 6.73311 0 1
20 79 6.73311 0 1
20 80 7.6767 0 1
20 81 7.6767 0 1
20 82 7.71964 0 -1
20 83 7.71964 0 -1
20 84 7.78157 0 1
20 85 7.79604 0 -1
20 86 8.66256 0 1
20 87 8.66256 0 1
20 88 8.67073 0 -1
20 89 8.67073 0 -1
20 90 9.38518 0 -1
20 91 9.41428 0 1
22 0 -7.2639 1 1
22 1 -7.23973 1 -1
22 2 -6.64802 1 1
22 3 -6.64802 1 1
