# mu freq sigma_base sigma_full diff
2.30 0.135605 0.268424 0.274418 -0.005994
2.30 0.135973 0.278774 0.26675 0.012024
2.30 0.13634 0.289724 0.281368 0.008356
2.30 0.136707 0.323913 0.315513 0.0084
2.30 0.137075 0.345663 0.333273 0.01239
2.30 0.137442 0.396928 0.394412 0.002516
2.30 0.13781 0.475829 0.452483 0.023346
2.30 0.138177 0.519704 0.487318 0.032386
2.30 0.138545 0.575384 0.572766 0.002618
2.30 0.138912 0.644916 0.648657 -0.003741
2.30 0.13928 0.721772 0.721982 -0.00021
2.30 0.139647 0.870659 0.864395 0.006264
2.30 0.140015 1.02962 0.993801 0.035819
2.30 0.140382 1.20892 1.15151 0.05741
2.30 0.14075 1.49819 1.42651 0.07168
2.30 0.141117 1.82287 1.75442 0.06845
2.30 0.141485 2.26634 2.22256 0.04378
2.30 0.141852 2.93339 2.89129 0.0421
2.30 0.14222 3.79637 3.77184 0.02453
2.30 0.142587 5.20057 5.22857 -0.028
2.30 0.142955 7.43653 7.49113 -0.0546
2.30 0.143322 10.8414 10.9052 -0.0638
2.30 0.14369 15.9462 16.004 -0.0578
2.30 0.144057 20.5237 20.558 -0.0343
2.30 0.144425 20.2638 20.2891 -0.0253
2.30 0.144792 15.3846 15.3707 0.0139
2.30 0.14516 10.3144 10.2347 0.0797
2.30 0.145527 7.01769 6.92111 0.09658
2.30 0.145895 4.83445 4.75232 0.08213
2.30 0.146262 3.4649 3.41299 0.05191
2.30 0.14663 2.59172 2.58289 0.00883
2.30 0.146997 1.91404 1.93328 -0.01924
2.30 0.147365 1.52168 1.57209 -0.05041
2.30 0.147732 1.24459 1.30683 -0.06224
2.30 0.1481 0.988432 1.03492 -0.046488
2.30 0.148467 0.842288 0.906027 -0.063739
2.30 0.148835 0.690866 0.768807 -0.077941
2.30 0.149202 0.562252 0.622905 -0.060653
2.30 0.14957 0.496871 0.559468 -0.062597
2.30 0.149937 0.394453 0.471233 -0.07678
2.30 0.150305 0.329264 0.432944 -0.10368
2.30 0.150672 0.291724 0.426298 -0.134574
2.30 0.15104 0.216723 0.350987 -0.134264
2.30 0.151407 0.201262 0.345991 -0.144729
2.30 0.151775 0.199816 0.352122 -0.152306
2.30 0.152142 0.172742 0.283756 -0.111014
2.30 0.15251 0.186801 0.268353 -0.081552
2.30 0.152877 0.173991 0.25503 -0.081039
2.30 0.153245 0.147596 0.236543 -0.088947
2.30 0.153612 0.149821 0.260884 -0.111063
2.30 0.15398 0.1126 0.225742 -0.113142
2.30 0.154347 0.095618 0.20481 -0.109192
2.30 0.154715 0.107782 0.222701 -0.114919
2.30 0.155082 0.0810125 0.170228 -0.0892155
2.30 0.15545 0.0836581 0.151128 -0.0674699
2.30 0.155817 0.0901494 0.165847 -0.0756976
2.30 0.156185 0.0634294 0.140774 -0.0773446
2.30 0.156552 0.0769453 0.143837 -0.0668917
2.30 0.15692 0.0780222 0.116307 -0.0382848
2.30 0.157287 0.0563656 0.081991 -0.0256254
2.30 0.157655 0.0698076 0.120868 -0.0510604
2.30 0.158022 0.0603536 0.106445 -0.0460914
2.30 0.15839 0.0466619 0.0666775 -0.0200156
2.30 0.158757 0.0556165 0.0715648 -0.0159483
2.30 0.159125 0.0436546 0.05373 -0.0100754
2.30 0.159492 0.0545582 0.0663269 -0.0117687
2.30 0.15986 0.0683009 0.0700786 -0.0017777
2.30 0.160227 0.0535628 0.020395 0.0331678
2.30 0.160595 0.0735777 0.035592 0.0379857
2.30 0.160962 0.0879943 0.0529287 0.0350656
2.30 0.16133 0.0835334 0.0397803 0.0437531
2.30 0.161697 0.104255 0.0543901 0.0498649
2.30 0.162065 0.100447 0.00455686 0.0958901
2.30 0.162432 0.10219 -0.0376647 0.139855
2.30 0.1628 0.128794 -0.0191935 0.147987
2.30 0.163167 0.1145 -0.0579911 0.172491
2.30 0.163535 0.11003 -0.0567474 0.166777
2.30 0.163902 0.117813 -0.0170435 0.134856
2.30 0.164269 0.0912636 -0.0569415 0.148205
2.30 0.164637 0.0846824 -0.0641137 0.148796
2.30 0.165004 0.0747899 -0.0543773 0.129167
