# mu freq sigma_base sigma_full diff
2.30 0.0422617 0.0894822 0.0892085 0.0002737
2.30 0.0426292 0.0885766 0.0883009 0.0002757
2.30 0.0429967 0.0869541 0.0866775 0.0002766
2.30 0.0433642 0.088107 0.087832 0.000275
2.30 0.0437317 0.0858435 0.0855621 0.0002814
2.30 0.0440992 0.0880297 0.0877517 0.000278
2.30 0.0444667 0.0862542 0.0859691 0.0002851
2.30 0.0448342 0.0881169 0.087835 0.0002819
2.30 0.0452017 0.0880057 0.087719 0.0002867
2.30 0.0455692 0.0886457 0.0883567 0.000289
2.30 0.0459367 0.0907401 0.0904488 0.0002913
2.30 0.0463042 0.0903253 0.0900251 0.0003002
2.30 0.0466716 0.0941496 0.0938471 0.0003025
2.30 0.0470391 0.0933466 0.0930306 0.000316
2.30 0.0474066 0.0965043 0.0961883 0.000316
2.30 0.0477741 0.0959162 0.095592 0.0003242
2.30 0.0481416 0.0977092 0.0973822 0.000327
2.30 0.0485091 0.0994231 0.0990908 0.0003323
2.30 0.0488766 0.0998276 0.0994874 0.0003402
2.30 0.0492441 0.103674 0.103332 0.000342
2.30 0.0496116 0.10322 0.102865 0.000355
2.30 0.0499791 0.10795 0.107592 0.000358
2.30 0.0503466 0.108061 0.107689 0.000372
2.30 0.0507141 0.112097 0.111719 0.000378
2.30 0.0510816 0.11418 0.113791 0.000389
2.30 0.0514491 0.116521 0.116122 0.000399
2.30 0.0518165 0.121065 0.120659 0.000406
2.30 0.052184 0.121934 0.121513 0.000421
2.30 0.0525515 0.12816 0.127735 0.000425
2.30 0.052919 0.128961 0.12852 0.000441
2.30 0.0532865 0.135258 0.134812 0.000446
2.30 0.053654 0.137815 0.137353 0.000462
2.30 0.0540215 0.142731 0.142255 0.000476
2.30 0.054389 0.148229 0.147742 0.000487
2.30 0.0547565 0.151446 0.150938 0.000508
2.30 0.055124 0.159727 0.159207 0.00052
2.30 0.0554915 0.162422 0.161879 0.000543
2.30 0.055859 0.172092 0.171534 0.000558
2.30 0.0562265 0.176436 0.175853 0.000583
2.30 0.056594 0.185791 0.185189 0.000602
2.30 0.0569615 0.193846 0.193222 0.000624
2.30 0.0573289 0.202135 0.201481 0.000654
2.30 0.0576964 0.214851 0.214173 0.000678
2.30 0.0580639 0.223144 0.22243 0.000714
2.30 0.0584314 0.240127 0.239383 0.000744
2.30 0.0587989 0.251353 0.250567 0.000786
2.30 0.0591664 0.271759 0.270927 0.000832
2.30 0.0595339 0.290044 0.289156 0.000888
2.30 0.0599014 0.314415 0.313457 0.000958
2.30 0.0602689 0.34455 0.343514 0.001036
2.30 0.0606364 0.377268 0.376129 0.001139
2.30 0.0610039 0.425891 0.424637 0.001254
2.30 0.0613714 0.478845 0.477438 0.001407
2.30 0.0617389 0.560273 0.558672 0.001601
2.30 0.0621064 0.66193 0.660064 0.001866
2.30 0.0624739 0.816995 0.814745 0.00225
2.30 0.0628413 1.04322 1.04042 0.0028
2.30 0.0632088 1.39802 1.39433 0.00369
2.30 0.0635763 1.9532 1.94817 0.00503
2.30 0.0639438 2.7236 2.71666 0.00694
2.30 0.0643113 3.38187 3.37336 0.00851
2.30 0.0646788 3.26804 3.25982 0.00822
2.30 0.0650463 2.56682 2.56033 0.00649
2.30 0.0654138 1.92824 1.92331 0.00493
2.30 0.0657813 1.53191 1.52793 0.00398
2.30 0.0661488 1.34415 1.34063 0.00352
2.30 0.0665163 1.30415 1.30071 0.00344
2.30 0.0668838 1.40838 1.4047 0.00368
2.30 0.0672513 1.61061 1.60641 0.0042
2.30 0.0676188 1.75446 1.74991 0.00455
2.30 0.0679863 1.6354 1.63111 0.00429
2.30 0.0683537 1.37702 1.37334 0.00368
2.30 0.0687212 1.1852 1.18199 0.00321
