# mu freq sigma_L0 sigma_L1 sigma_L2 diff_L1 diff_L2
2.3 0.0911383 0.0243554 0.0241072 0.0241202 0.0002482 0.0002352
2.3 0.0915058 0.0252139 0.0247591 0.0247564 0.0004548 0.0004575
2.3 0.0918733 0.0252056 0.0253654 0.0253625 -0.0001598 -0.0001569
2.3 0.0922408 0.0258279 0.0261733 0.0261791 -0.0003454 -0.0003512
2.3 0.0926083 0.0262674 0.0261833 0.0261755 8.41e-05 9.19e-05
2.3 0.0929758 0.0260471 0.0259091 0.0259051 0.000138 0.000142
2.3 0.0933433 0.0271158 0.0266937 0.0266978 0.0004221 0.000418
2.3 0.0937108 0.0264509 0.0255285 0.0255202 0.0009224 0.0009307
2.3 0.0940783 0.0271845 0.0261856 0.0261881 0.0009989 0.0009964
2.3 0.0944458 0.0265585 0.0262198 0.0262272 0.0003387 0.0003313
2.3 0.0948133 0.0272205 0.027183 0.0271742 3.75e-05 4.63e-05
2.3 0.0951808 0.0273804 0.0270481 0.0270591 0.0003323 0.0003213
2.3 0.0955482 0.0275341 0.0271932 0.0271937 0.0003409 0.0003404
2.3 0.0959157 0.0290776 0.0284879 0.0284808 0.0005897 0.0005968
2.3 0.0962832 0.0294134 0.028384 0.0283965 0.0010294 0.0010169
2.3 0.0966507 0.0313291 0.0298836 0.0298749 0.0014455 0.0014542
2.3 0.0970182 0.0308945 0.0291198 0.0291181 0.0017747 0.0017764
2.3 0.0973857 0.0314865 0.0301124 0.0301176 0.0013741 0.0013689
2.3 0.0977532 0.0309819 0.0302248 0.0302137 0.0007571 0.0007682
2.3 0.0981207 0.0311455 0.0307343 0.0307367 0.0004112 0.0004088
2.3 0.0984882 0.032409 0.0323335 0.032336 7.55e-05 7.3e-05
2.3 0.0988557 0.0326707 0.0325692 0.0325624 0.0001015 0.0001083
2.3 0.0992232 0.0340451 0.0338976 0.0339048 0.0001475 0.0001403
2.3 0.0995907 0.0332578 0.0331488 0.0331522 0.000109 0.0001056
2.3 0.0999582 0.0346745 0.0344015 0.0343947 0.000273 0.0002798
2.3 0.100326 0.0341903 0.0338926 0.0339044 0.0002977 0.0002859
2.3 0.100693 0.0346438 0.0341698 0.0341659 0.000474 0.0004779
2.3 0.101061 0.0354445 0.0350831 0.0350769 0.0003614 0.0003676
2.3 0.101428 0.0355724 0.0356523 0.0356637 -7.99e-05 -9.13e-05
2.3 0.101796 0.0370034 0.0373975 0.0373837 -0.0003941 -0.0003803
2.3 0.102163 0.0360638 0.0364944 0.0364971 -0.0004306 -0.0004333
2.3 0.102531 0.0376276 0.0374951 0.0374997 0.0001325 0.0001279
2.3 0.102898 0.0373155 0.0367902 0.0367776 0.0005253 0.0005379
2.3 0.103266 0.0383442 0.0376498 0.0376601 0.0006944 0.0006841
2.3 0.103633 0.0384494 0.0378981 0.0378975 0.0005513 0.0005519
2.3 0.104001 0.0382024 0.0381102 0.0381057 9.22e-05 9.67e-05
2.3 0.104368 0.0395153 0.0396463 0.0396572 -0.000131 -0.0001419
2.3 0.104736 0.0392697 0.0397425 0.0397404 -0.0004728 -0.0004707
2.3 0.105103 0.0414549 0.0419467 0.0419431 -0.0004918 -0.0004882
2.3 0.105471 0.0412711 0.0415577 0.0415682 -0.0002866 -0.0002971
2.3 0.105838 0.0433964 0.0438945 0.0438851 -0.0004981 -0.0004887
2.3 0.106206 0.0441193 0.0444939 0.0444895 -0.0003746 -0.0003702
2.3 0.106573 0.0446634 0.0443543 0.0443638 0.0003091 0.0002996
2.3 0.106941 0.0453318 0.0446115 0.0445948 0.0007203 0.000737
2.3 0.107308 0.0444666 0.0435006 0.0435087 0.000966 0.0009579
2.3 0.107676 0.0456502 0.0443836 0.0443881 0.0012666 0.0012621
2.3 0.108043 0.0441254 0.0425776 0.0425665 0.0015478 0.0015589
2.3 0.108411 0.0459178 0.0441776 0.0441948 0.0017402 0.001723
2.3 0.108778 0.0457556 0.0440046 0.0439992 0.001751 0.0017564
2.3 0.109145 0.0463978 0.0440364 0.0440337 0.0023614 0.0023641
2.3 0.109513 0.046078 0.0433836 0.0433951 0.0026944 0.0026829
2.3 0.10988 0.0448773 0.0425863 0.0425774 0.002291 0.0022999
2.3 0.110248 0.0477562 0.0458987 0.0458974 0.0018575 0.0018588
2.3 0.110615 0.0485548 0.0472607 0.0472675 0.0012941 0.0012873
2.3 0.110983 0.051623 0.050527 0.0505157 0.001096 0.0011073
2.3 0.11135 0.0513589 0.0509075 0.0509082 0.0004514 0.0004507
2.3 0.111718 0.0529996 0.0529556 0.0529638 4.4e-05 3.58e-05
2.3 0.112085 0.0541719 0.0538294 0.0538146 0.0003425 0.0003573
2.3 0.112453 0.0545639 0.0546028 0.0546166 -3.89e-05 -5.27e-05
2.3 0.11282 0.0561576 0.0560659 0.0560677 9.17e-05 8.99e-05
2.3 0.113188 0.0553844 0.0548466 0.054836 0.0005378 0.0005484
2.3 0.113555 0.0577319 0.057217 0.0572361 0.0005149 0.0004958
2.3 0.113923 0.0573084 0.0564655 0.0564533 0.0008429 0.0008551
2.3 0.11429 0.0598382 0.0586032 0.0586024 0.001235 0.0012358
2.3 0.114658 0.0602688 0.0589104 0.0589199 0.0013584 0.0013489
2.3 0.115025 0.0610924 0.0594914 0.0594767 0.001601 0.0016157
2.3 0.115393 0.0625579 0.0607967 0.0608005 0.0017612 0.0017574
2.3 0.11576 0.062198 0.0607318 0.0607355 0.0014662 0.0014625
2.3 0.116128 0.0653505 0.0638768 0.0638664 0.0014737 0.0014841
2.3 0.116495 0.0653175 0.0636347 0.0636418 0.0016828 0.0016757
2.3 0.116863 0.0683371 0.0668312 0.0668363 0.0015059 0.0015008
2.3 0.11723 0.0679781 0.0667682 0.0667561 0.0012099 0.001222
2.3 0.117598 0.0694355 0.0689173 0.0689338 0.0005182 0.0005017
2.3 0.117965 0.0706507 0.0709472 0.0709438 -0.0002965 -0.0002931
2.3 0.118333 0.0707724 0.0714004 0.0713911 -0.000628 -0.0006187
2.3 0.1187 0.0737747 0.074841 0.0748586 -0.0010663 -0.0010839
2.3 0.119068 0.0730275 0.0743351 0.0743158 -0.0013076 -0.0012883
2.3 0.119435 0.0765337 0.0771843 0.0771863 -0.0006506 -0.0006526
2.3 0.119803 0.0764141 0.0765048 0.0765115 -9.07e-05 -9.74e-05
2.3 0.12017 0.0796251 0.0798021 0.0797852 -0.000177 -0.0001601
2.3 0.120538 0.0815327 0.0824542 0.0824648 -0.0009215 -0.0009321
2.3 0.120905 0.0828581 0.0846226 0.0846225 -0.0017645 -0.0017644
2.3 0.121273 0.0861256 0.0880837 0.0880765 -0.0019581 -0.0019509
